,company_name,address,category,telephon
195,اربن ليدز,محور محمد نجيب - كمباوند ريفر ووك - عمارة 22 - الدور 3  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +20226113507 
196,اربن ليدز,محور محمد نجيب - كمباوند ريفر ووك - عمارة 22 - الدور 3  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201024252560 
197,اربن ليدز,محور محمد نجيب - كمباوند ريفر ووك - عمارة 22 - الدور 3  التجمع الخامس  القاهرة الجديدة  القاهرة.,, 16057
198,ارت جروب للاستشارات الهندسية,206 - الحى الثالث - التجمع الخامس  القاهرة الجديدة  القاهرة.,,+20223131220 
199,ارت جروب للاستشارات الهندسية,206 - الحى الثالث - التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201001260492 
200,ارت جروب للاستشارات الهندسية,206 - الحى الثالث - التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201001260493 
201,ارت جروب للاستشارات الهندسية,206 - الحى الثالث - التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201006101598
202,ارت سيتى,4 ش بشير نعمة متفرع من ش الحجاز  النزهة  مصر الجديدة  القاهرة.,,16892 
203,ارت سيتى,4 ش بشير نعمة متفرع من ش الحجاز  النزهة  مصر الجديدة  القاهرة.,, +201025925925
204,ارت للتسويق العقارى,21 ش عبد الحميد ابو هيف  مصر الجديدة  القاهرة.,,+201223587564
205,ارتال للتطوير العقارى,31 ش ياقوت الحموى متفرع من ش التسعين - الدور 1  التجمع الخامس  القاهرة الجديدة  القاهرة.,,16986 
206,ارتال للتطوير العقارى,31 ش ياقوت الحموى متفرع من ش التسعين - الدور 1  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201022228789 
207,ارتال للتطوير العقارى,31 ش ياقوت الحموى متفرع من ش التسعين - الدور 1  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201020056000
208,ارتكاز للعقارات,ش 53  الحى الثانى - المنطقة الثانية  التجمع الخامس  القاهرة الجديدة  القاهرة.,,+201005080951 
209,ارتكاز للعقارات,ش 53  الحى الثانى - المنطقة الثانية  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +20225646361 
210,ارتكاز للعقارات,ش 53  الحى الثانى - المنطقة الثانية  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +20225646270
211,ارديك للعقارات,19 ش عبد الحميد بدوى  الدور 1  النزهة  مصر الجديدة  القاهرة.,,15006 
212,ارديك للعقارات,19 ش عبد الحميد بدوى  الدور 1  النزهة  مصر الجديدة  القاهرة.,, +20221804792
213,ارزان للعقارات,2 ش هشام لبيب  الدور 9  متفرع من ش سمير عبد الرؤوف  الحى الثامن  مدينة نصر  القاهرة.,,+201097622069 
214,ارزان للعقارات,2 ش هشام لبيب  الدور 9  متفرع من ش سمير عبد الرؤوف  الحى الثامن  مدينة نصر  القاهرة.,, +20222750034
215,ارسيليا للتطوير العقارى,فيلا 229  الحى الثانى  التجمع الخامس  القاهرة الجديدة  القاهرة.,,15049
216,ارقى للتنمية - ايه دى جى,القطعة 311 ش التسعين الجنوبى  التجمع الخامس  القاهرة الجديدة  القاهرة.,,15273
217,اركا للاستثمار العقارى والتنمية السياحية,39 ش عباس العقاد - الدور 8  المنطقة الاولى  مدينة نصر  القاهرة.,,+20224055633 
218,اركا للاستثمار العقارى والتنمية السياحية,39 ش عباس العقاد - الدور 8  المنطقة الاولى  مدينة نصر  القاهرة.,, +201068830111 
219,اركا للاستثمار العقارى والتنمية السياحية,39 ش عباس العقاد - الدور 8  المنطقة الاولى  مدينة نصر  القاهرة.,, +201000061830 
220,اركا للاستثمار العقارى والتنمية السياحية,39 ش عباس العقاد - الدور 8  المنطقة الاولى  مدينة نصر  القاهرة.,, +20224055632
221,اركان ديفلوبرز,2 ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,,+20223520391 
222,اركان ديفلوبرز,2 ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,, +20223521517 
223,اركان ديفلوبرز,2 ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,, +20223520295 
224,اركان ديفلوبرز,2 ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,, +201227436474
225,اركون تريد,1 مربع 1216، ش الشهيد سيد زكريا  مساكن شيراتون  مصر الجديدة  القاهرة.,,+201288077088 
226,اركون تريد,1 مربع 1216، ش الشهيد سيد زكريا  مساكن شيراتون  مصر الجديدة  القاهرة.,, +201222182489
227,اركى بيز للتنمية العقارية,2014 الطريق الدائرى - مدينة المعراج  زهراء المعادى  المعادى  القاهرة.,,+20229179326 
228,اركى بيز للتنمية العقارية,2014 الطريق الدائرى - مدينة المعراج  زهراء المعادى  المعادى  القاهرة.,, +201090949740 
229,اركى بيز للتنمية العقارية,2014 الطريق الدائرى - مدينة المعراج  زهراء المعادى  المعادى  القاهرة.,, +20224472516
230,ارمك للتسويق العقارى,51 ش شمال سيناء 2  زهراء المعادى  المعادى  القاهرة.,,+201274509997 
231,ارمك للتسويق العقارى,51 ش شمال سيناء 2  زهراء المعادى  المعادى  القاهرة.,, +201228865884
232,ارمك للعقارات,51 ش الخمسين  زهراء المعادى  المعادى  القاهرة.,,+201228865884 
233,ارمك للعقارات,51 ش الخمسين  زهراء المعادى  المعادى  القاهرة.,, +201274509996 
234,ارمك للعقارات,51 ش الخمسين  زهراء المعادى  المعادى  القاهرة.,, +201120569034
235,ازورا للعقارات,41 ش مكرم عبيد  مدينة نصر  القاهرة.,,+201060484017
236,اس ار ام للتنمية العمرانية,ش اللاسلكى، ميدان المؤمن  المعادى الجديدة  المعادى  القاهرة.,,+201200258599 
237,اس ار ام للتنمية العمرانية,ش اللاسلكى، ميدان المؤمن  المعادى الجديدة  المعادى  القاهرة.,, +201204766779 
238,اس ار ام للتنمية العمرانية,ش اللاسلكى، ميدان المؤمن  المعادى الجديدة  المعادى  القاهرة.,, +201271382047 
239,اس ار ام للتنمية العمرانية,ش اللاسلكى، ميدان المؤمن  المعادى الجديدة  المعادى  القاهرة.,, +20227545584
240,اس اس او للاستثمار العقارى,33 ش كابول  المنطقة السادسة  مدينة نصر  القاهرة.,,+20226710407 
241,اس اس او للاستثمار العقارى,33 ش كابول  المنطقة السادسة  مدينة نصر  القاهرة.,, +201114444800 
242,اس اس او للاستثمار العقارى,33 ش كابول  المنطقة السادسة  مدينة نصر  القاهرة.,, +20226710408
243,اس ال دى - ستراكشر لاين للتطوير,3 و ش الاخبار  ش عبد الحميد بدوى  مصر الجديدة  القاهرة.,,19175
244,اس ام دى,4 أ كورنيش النيل  بولاق  القاهرة.,,+20225781194 
245,اس ام دى,4 أ كورنيش النيل  بولاق  القاهرة.,, +20225781195 
246,اس ام دى,4 أ كورنيش النيل  بولاق  القاهرة.,, +201287789999 
247,اس ام دى,4 أ كورنيش النيل  بولاق  القاهرة.,, +20225781196
248,اس ايه كيه ديفيلوبمنتس,محور محمد نجيب، منطقة المستثمرين الشمالية  التجمع الاول  القاهرة الجديدة  القاهرة.,,+2NULL15158
249,اس بى ال للعقارات,41 عمارات امتداد الامل -  المعادى الجديدة  المعادى  القاهرة.,,+20227005781 
250,اس بى ال للعقارات,41 عمارات امتداد الامل -  المعادى الجديدة  المعادى  القاهرة.,, +20227010087
251,اس بى دى للاستثمار والتسويق العقارى,28 عمارات العبور - - الدور 6  مدينة نصر  القاهرة.,,+20224040114 
252,اس بى دى للاستثمار والتسويق العقارى,28 عمارات العبور - - الدور 6  مدينة نصر  القاهرة.,, +20224040115
253,اس كى اى - للتسويق العقارى,239  محور محمد نجيب  البنفسج 9  التجمع الخامس  القاهرة الجديدة  القاهرة.,,+201118539994 
254,اس كى اى - للتسويق العقارى,239  محور محمد نجيب  البنفسج 9  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +20223080794
255,اساس العقارية,24 عمارات الفرسان - الطريق الدائرى - الدور 1 شقة 1  القطامية  القاهرة.,,+20223150250 
256,اساس العقارية,24 عمارات الفرسان - الطريق الدائرى - الدور 1 شقة 1  القطامية  القاهرة.,, +201066409614
257,اسامة للعقارات,25 برج التوحيد - ش احمد عصمت  عين شمس  القاهرة.,,+20224992500 
258,اسامة للعقارات,25 برج التوحيد - ش احمد عصمت  عين شمس  القاهرة.,, +201003025453
259,استبينا,2 ش حوض اللبن  جاردن سيتى  القاهرة.,,+20227957910 
260,استبينا,2 ش حوض اللبن  جاردن سيتى  القاهرة.,, +201026480357 
261,استبينا,2 ش حوض اللبن  جاردن سيتى  القاهرة.,, +201014658512
262,استس - الاهلى للتسويق العقارى والاستشارات,19 ش الجمهورية - الدور 5  عابدين  القاهرة.,,+20223908506 
263,استس - الاهلى للتسويق العقارى والاستشارات,19 ش الجمهورية - الدور 5  عابدين  القاهرة.,, +20223908712 
264,استس - الاهلى للتسويق العقارى والاستشارات,19 ش الجمهورية - الدور 5  عابدين  القاهرة.,, +20223908711 
265,استس - الاهلى للتسويق العقارى والاستشارات,19 ش الجمهورية - الدور 5  عابدين  القاهرة.,, +20223908427 
266,استس - الاهلى للتسويق العقارى والاستشارات,19 ش الجمهورية - الدور 5  عابدين  القاهرة.,, +20223908425
267,استيت سينس,  مدينة 15 مايو  القاهرة.,,+20224911163
268,اسحق جروب - مجموعة شركات اسحق,28 ش مصطفي حمام متفرع من ش عباس العقاد - الدور 3  مدينة نصر  القاهرة.,,+20224018790
269,اسكان الراجحى,ش طومانباى  جسر السويس  القاهرة.,,+201112751919
270,اسكان العقارية,32 ش محمود خاطر  تقاطع ش عبدالله  حلوان  القاهرة.,,+201155528882 
271,اسكان العقارية,32 ش محمود خاطر  تقاطع ش عبدالله  حلوان  القاهرة.,, +201032673838
272,اسكان جروب للاستثمار والتسويق العقارى,169 ابراج لامار ش جسر السويس  جسر السويس  القاهرة.,,+201069307485 
