,company_name,address,category,telephon
362,اغابى للاستثمار والتسويق العقارى,213 ش الحجاز  ميدان الحجاز  مصر الجديدة  القاهرة.,, +201111135051
363,اغاخان للعقارات,12 ابراج اغاخان -  اغاخان  القاهرة.,,+201223698880 
364,اغاخان للعقارات,12 ابراج اغاخان -  اغاخان  القاهرة.,, +20222048997
365,اغاخان للعقارات,4 ابراج اغاخان -  شبرا  القاهرة.,,+201226405114 
366,اغاخان للعقارات,4 ابراج اغاخان -  شبرا  القاهرة.,, +201229998210
367,افاق للاستثمار والتنمية العقارية,21 عمارات العبور -  مدينة نصر  القاهرة.,,+20224032634 
368,افاق للاستثمار والتنمية العقارية,21 عمارات العبور -  مدينة نصر  القاهرة.,, +20224032527
369,افاق للاعمار,الطريق الدائرى - كومباوند البارون سيتى - برج 30  المعادى الجديدة  المعادى  القاهرة.,,+201093005245
370,افريكا للاستثمار العقارى,3 ش 287  المعادى الجديدة  المعادى  القاهرة.,,+20225190728
371,افريكانو للعقارات,السوق التجارى  مدينة الرحاب  القاهرة.,,+20226924368
372,افق للاستثمار العقارى,19 - منطقة المستثمرين الجنوبية - كمباوند ضاحية الشرق  التجمع الخامس  القاهرة الجديدة  القاهرة.,,+201091056470 
373,افق للاستثمار العقارى,19 - منطقة المستثمرين الجنوبية - كمباوند ضاحية الشرق  التجمع الخامس  القاهرة الجديدة  القاهرة.,, +201028240501
374,افق للاستشارات و التسويق العقارى,فيلا 119 - - البنفسج 7  البنفسج  القاهرة الجديدة  القاهرة.,,+201006028883 
375,افق للاستشارات و التسويق العقارى,فيلا 119 - - البنفسج 7  البنفسج  القاهرة الجديدة  القاهرة.,, +20223078476 
376,افق للاستشارات و التسويق العقارى,فيلا 119 - - البنفسج 7  البنفسج  القاهرة الجديدة  القاهرة.,, +20223078475 
377,افق للاستشارات و التسويق العقارى,فيلا 119 - - البنفسج 7  البنفسج  القاهرة الجديدة  القاهرة.,, +20223078473
378,افنجارد للتطوير العقارى,1081 كورنيش النيل  جاردن سيتى  القاهرة.,,+201025254884 
379,افنجارد للتطوير العقارى,1081 كورنيش النيل  جاردن سيتى  القاهرة.,, +201099009408 
380,افنجارد للتطوير العقارى,1081 كورنيش النيل  جاردن سيتى  القاهرة.,, +20227933216
381,افندينا,11 أ عمارات الشركة العربية -  القطامية  القاهرة.,,+201220480304
